Video ID number,main entry gloss label,entry/variant gloss label,occurrence label,start frame of video clip containing the sign (relative to full videos),end frame of video clip containing the sign (relative to full videos),start frame of the sign (relative to full videos),end frame of the sign (relative to full videos),Dominant start handshape,Non-dominant start handshape,Dominant end handshape,Non-dominant end handshape,full video file,sign type,Class Label
4490,HABIT,HABIT_3,HABIT_3,1507,1640,1557,1590,5-C,crvd-5,S,S,ASL_2008_08_13_scene12-camera1.mov,Lexical Signs,HABIT
4491,HABIT,HABIT_3,HABIT_3,5441,5556,5491,5506,crvd-5,crvd-5,S,S,ASL_2011_06_14_Brady_scene30-camera1.mov,Lexical Signs,HABIT
4518,HALL,HALL,HALL,750,890,800,840,flat-B,flat-B,flat-B,flat-B,ASL_2008_02_01_scene16-camera1.mov,Lexical Signs,HALL
4519,HALL,HALL,HALL,4720,4850,4770,4800,B-L,B-L,B-L,B-L,ASL_2008_05_29a_scene44-camera1.mov,Lexical Signs,HALL
4520,HALL,HALL,HALL,222,345,272,295,B-L,B-L,B-L,B-L,ASL_2008_08_13_scene13-camera1.mov,Lexical Signs,HALL
4521,HALL,HALL,HALL,10153,10267,10203,10217,B-L,B-L,B-L,B-L,ASL_2011_06_14_Brady_scene30-camera1.mov,Lexical Signs,HALL
4534,HAMBURGER,HAMBURGER,HAMBURGER,632,770,682,720,B-L,B-L,B-L,B-L,ASL_2008_01_18_scene46-camera1.mov,Lexical Signs,HAMBURGER
4535,HAMBURGER,HAMBURGER,HAMBURGER,1446,1600,1496,1550,crvd-B,crvd-B,crvd-B,crvd-B,ASL_2010_08_10_Liz_additional_lexicon_signs_scene2-camera1.mov,Lexical Signs,HAMBURGER
4536,HAMBURGER,HAMBURGER,HAMBURGER,3702,3828,3752,3778,crvd-B,crvd-B,crvd-B,crvd-B,ASL_2011_06_14_Brady_scene31-camera1.mov,Lexical Signs,HAMBURGER
4537,HAMBURGER,HAMBURGER,HAMBURGER,1225,1356,1275,1306,C,C,C,C,ASL_2006_10_10_scene12-camera1.mov,Lexical Signs,HAMBURGER
4538,HAMBURGER,HAMBURGER,HAMBURGER,1076,1238,1126,1188,crvd-B,crvd-B,crvd-B,crvd-B,ASL_2007_05_24_scene16-camera1.mov,Lexical Signs,HAMBURGER
4539,HAMBURGER,HAMBURGER-pl,HAMBURGER-pl,1620,1785,1670,1735,crvd-B,crvd-B,crvd-B,crvd-B,ASL_2010_08_10_Liz_additional_lexicon_signs_scene2-camera1.mov,Lexical Signs,HAMBURGER
4540,HAMBURGER,HAMBURGER-pl,HAMBURGER-pl,4031,4202,4081,4152,crvd-B,crvd-B,crvd-B,crvd-B,ASL_2011_06_14_Brady_scene31-camera1.mov,Lexical Signs,HAMBURGER
338,HANG-UP-PHONE,(2h)HANG-UP-PHONE,(2h)HANG-UP-PHONE,4722,4860,4772,4810,Y,B-L,Y,B-L,ASL_2008_05_29a_scene45-camera1.mov,Lexical Signs,HANG-UP-PHONE
4552,HANG-UP-PHONE,HANG-UP-PHONE,HANG-UP-PHONE,2820,2960,2870,2910,Y,,Y,,ASL_2008_02_01_scene16-camera1.mov,Lexical Signs,HANG-UP-PHONE
4553,HANG-UP-PHONE,HANG-UP-PHONE,HANG-UP-PHONE,7645,7772,7695,7722,Y,,Y,,ASL_2008_08_13_scene13-camera1.mov,Lexical Signs,HANG-UP-PHONE
4554,HANG-UP-PHONE,HANG-UP-PHONE,HANG-UP-PHONE,5519,5652,5569,5602,Y,,Y,,ASL_2011_06_14_Brady_scene31-camera1.mov,Lexical Signs,HANG-UP-PHONE
4596,HATE,HATE,HATE,665,786,715,736,cocked-8,cocked-8,5,5,ASL_2008_02_01_scene19-camera1.mov,Lexical Signs,HATE
4597,HATE,HATE,HATE,2735,2860,2785,2810,cocked-8,cocked-8,5,5,ASL_2008_05_29a_scene47-camera1.mov,Lexical Signs,HATE
4598,HATE,HATE,HATE,653,775,703,725,cocked-8,cocked-8,5,5,ASL_2008_08_13_scene15-camera1.mov,Lexical Signs,HATE
4599,HATE,HATE,HATE,2663,2781,2713,2731,8,8,crvd-sprd-B,crvd-sprd-B,ASL_2011_06_14_Brady_scene32-camera1.mov,Lexical Signs,HATE
40194,HEAR+NOISE,HEAR+NOISE,HEAR+NOISE+,472,627,522,577,1,,5,5,ASL_2008_02_15_scene20-camera1.mov,Compound Signs,HEAR+NOISE
40202,HEAR/LISTEN+RUMBLE,HEAR/LISTEN+RUMBLE,HEAR/LISTEN+RUMBLE,1339,1494,1389,1444,L,,S,S,ASL_2007_05_24_scene19-camera1.mov,Compound Signs,HEAR+RUMBLE
40195,HEAR+RUMBLE,HEAR+RUMBLE,HEAR+RUMBLE,2431,2563,2481,2513,1,,cocked-S,S,ASL_2008_08_13_session2_scene9-camera1.mov,Compound Signs,HEAR+RUMBLE
40196,HEAR+RUMBLE,HEAR+RUMBLE,HEAR+RUMBLE+,1771,1924,1821,1874,1,,S,S,ASL_2008_02_01_scene54-camera1.mov,Compound Signs,HEAR+RUMBLE
40197,HEAR+RUMBLE,HEAR+RUMBLE,HEAR+RUMBLE+,2208,2361,2258,2311,1,,S,S,ASL_2008_03_28_scene17-camera1.mov,Compound Signs,HEAR+RUMBLE
40198,HEAR+RUMBLE,HEAR+RUMBLE,HEAR+RUMBLE++,1866,2016,1916,1966,1,,S,S,ASL_2011_07_22_Brady_scene5-camera1.mov,Compound Signs,HEAR+RUMBLE
4653,HEAVY,HEAVY,HEAVY,2380,2545,2430,2495,crvd-B,crvd-B,crvd-B,crvd-B,ASL_2008_02_01_scene20-camera1.mov,Lexical Signs,HEAVY
4654,HEAVY,HEAVY,HEAVY,2022,2145,2072,2095,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2008_05_29a_scene48-camera1.mov,Lexical Signs,HEAVY
4655,HEAVY,HEAVY,HEAVY,4855,4990,4905,4940,crvd-B,crvd-B,crvd-B,crvd-B,ASL_2008_08_13_scene16-camera1.mov,Lexical Signs,HEAVY
4656,HEAVY,HEAVY,HEAVY,2072,2190,2122,2140,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2011_06_14_Brady_scene33-camera1.mov,Lexical Signs,HEAVY
4657,HEAVY,HEAVY,HEAVY,2316,2431,2366,2381,5,5,5,5,ASL_2006_10_10_scene12-camera1.mov,Lexical Signs,HEAVY
4658,HEAVY,HEAVY,HEAVY,2193,2363,2243,2313,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2007_05_24_scene16-camera1.mov,Lexical Signs,HEAVY
4661,HEIGHT_2,HEIGHT_2,HEIGHT_2+,410,570,460,520,1,,1,,ASL_2008_02_01_scene21-camera1.mov,Lexical Signs,HEIGHT_2
4662,HEIGHT_2,HEIGHT_2,HEIGHT_2+,5421,5546,5471,5496,1,,1,,ASL_2008_08_13_scene16-camera1.mov,Lexical Signs,HEIGHT_2
4714,HISTORY,HISTORY,HISTORY+,3941,4070,3991,4020,U,,U,,ASL_2011_06_14_Brady_scene34-camera1.mov,Lexical Signs,HISTORY
4715,HISTORY,HISTORY,HISTORY+,2674,2804,2724,2754,U,,U,,ASL_2006_10_10_scene14-camera1.mov,Lexical Signs,HISTORY
4716,HISTORY,HISTORY,HISTORY++,196,350,246,300,U,,U,,ASL_2008_02_01_scene23-camera1.mov,Lexical Signs,HISTORY
4717,HISTORY,HISTORY,HISTORY++,2667,2810,2717,2760,U,,U,,ASL_2008_05_29a_scene50-camera1.mov,Lexical Signs,HISTORY
4718,HISTORY,HISTORY,HISTORY++,4900,5045,4950,4995,U,,U,,ASL_2008_08_13_scene18-camera1.mov,Lexical Signs,HISTORY
4719,HISTORY,HISTORY,HISTORY++,2954,3106,3004,3056,U,,U,,ASL_2007_05_24_scene17-camera1.mov,Lexical Signs,HISTORY
219,HONOR,(1h)HONOR,(1h)HONOR,1170,1305,1220,1255,U,,U,,ASL_2008_02_01_scene24-camera1.mov,Lexical Signs,HONOR
220,HONOR,(1h)HONOR,(1h)HONOR,4341,4463,4391,4413,U,,U,,ASL_2011_06_14_Brady_scene35-camera1.mov,Lexical Signs,HONOR
4757,HONOR,HONOR,HONOR,2106,2232,2156,2182,U,U,U,U,ASL_2008_05_29a_scene52-camera1.mov,Lexical Signs,HONOR
4758,HONOR,HONOR,HONOR,5046,5185,5096,5135,U,U,U,U,ASL_2008_08_13_scene20-camera1.mov,Lexical Signs,HONOR
4814,HUNGRY/WISH,HUNGRY/WISH,HUNGRY/WISH,2676,2830,2726,2780,5-C,,5-C,,ASL_2008_02_01_scene26-camera1.mov,Lexical Signs,HUNGRY/WISH
4815,HUNGRY/WISH,HUNGRY/WISH,HUNGRY/WISH,686,823,736,773,5-C,,5-C,,ASL_2008_03_28_scene43-camera1.mov,Lexical Signs,HUNGRY/WISH
4816,HUNGRY/WISH,HUNGRY/WISH,HUNGRY/WISH,2670,2805,2720,2755,5-C,,5-C,,ASL_2008_05_29b_scene2-camera1.mov,Lexical Signs,HUNGRY/WISH
4817,HUNGRY/WISH,HUNGRY/WISH,HUNGRY/WISH,4087,4227,4137,4177,5-C-L,,5-C-L,,ASL_2008_08_13_scene22-camera1.mov,Lexical Signs,HUNGRY/WISH
4820,HURRICANE,HURRICANE,HURRICANE,3111,3274,3161,3224,U-L,U-L,bent-U-L,bent-U-L,ASL_2008_02_01_scene26-camera1.mov,Lexical Signs,HURRICANE
4821,HURRICANE,HURRICANE,HURRICANE,3075,3225,3125,3175,U-L,U-L,bent-U-L,bent-U-L,ASL_2008_05_29b_scene2-camera1.mov,Lexical Signs,HURRICANE
4822,HURRICANE,HURRICANE,HURRICANE,4762,4882,4812,4832,U-L,U-L,bent-U-L,bent-U-L,ASL_2008_08_13_scene22-camera1.mov,Lexical Signs,HURRICANE
4823,HURRY,HURRY,HURRY+,1846,1972,1896,1922,U,U,U,U,ASL_2006_10_10_scene14-camera1.mov,Lexical Signs,HURRY
4824,HURRY,HURRY,HURRY++,370,495,420,445,U,U,U,U,ASL_2008_02_01_scene27-camera1.mov,Lexical Signs,HURRY
4825,HURRY,HURRY,HURRY++,150,285,200,235,U,U,U,U,ASL_2008_05_29b_scene3-camera1.mov,Lexical Signs,HURRY
4826,HURRY,HURRY,HURRY++,353,485,403,435,U,U,U,U,ASL_2008_08_13_scene23-camera1.mov,Lexical Signs,HURRY
4827,HURRY,HURRY,HURRY++,2193,2350,2243,2300,U,U,U,U,ASL_2007_05_24_scene17-camera1.mov,Lexical Signs,HURRY
4850,ICE-CREAM,ICE-CREAM,ICE-CREAM+,2556,2710,2606,2660,S,,S,,ASL_2008_02_01_scene27-camera1.mov,Lexical Signs,ICE-CREAM
4851,ICE-CREAM,ICE-CREAM,ICE-CREAM+,3082,3205,3132,3155,S,,S,,ASL_2008_08_13_scene23-camera1.mov,Lexical Signs,ICE-CREAM
4852,ICE-CREAM,ICE-CREAM,ICE-CREAM+,1276,1418,1326,1368,S,,S,,ASL_2006_10_10_scene15-camera1.mov,Lexical Signs,ICE-CREAM
4853,ICE-CREAM,ICE-CREAM,ICE-CREAM++,2056,2205,2106,2155,S,,S,,ASL_2008_05_29b_scene3-camera1.mov,Lexical Signs,ICE-CREAM
4854,ICE-CREAM,ICE-CREAM,ICE-CREAM++,1211,1380,1261,1330,S,,S,,ASL_2007_05_24_scene18-camera1.mov,Lexical Signs,ICE-CREAM
4882,IGNITION-ON,IGNITION-ON,IGNITION-ON,600,740,650,690,X-over-thumb,,X-over-thumb,,ASL_2008_03_28_scene25-camera1.mov,Lexical Signs,IGNITION-ON
4883,IGNITION-ON,IGNITION-ON,IGNITION-ON,1895,2019,1945,1969,X-over-thumb,,X-over-thumb,,ASL_2011_07_22_Brady_scene13-camera1.mov,Lexical Signs,IGNITION-ON
4884,IGNITION-ON,IGNITION-ON,IGNITION-ON,2185,2312,2235,2262,X-over-thumb,,X-over-thumb,,ASL_2011_07_22_Brady_scene13-camera1.mov,Lexical Signs,IGNITION-ON
4888,ILLEGAL,ILLEGAL,ILLEGAL,680,802,730,752,L,B-L,L,B-L,ASL_2008_01_18_scene47-camera1.mov,Lexical Signs,ILLEGAL
4889,ILLEGAL,ILLEGAL,ILLEGAL,845,1004,895,954,L,B-L,L,B-L,ASL_2010_08_10_Liz_additional_lexicon_signs_scene5-camera1.mov,Lexical Signs,ILLEGAL
4890,ILLEGAL,ILLEGAL,ILLEGAL,2040,2195,2090,2145,L,B-L,L,B-L,ASL_2010_08_10_Liz_additional_lexicon_signs_scene30-camera1.mov,Lexical Signs,ILLEGAL
4891,ILLEGAL,ILLEGAL,ILLEGAL,471,595,521,545,L,B-L,L,B-L,ASL_2008_05_29a_scene27-camera1.mov,Lexical Signs,ILLEGAL
4892,ILLEGAL,ILLEGAL,ILLEGAL,442,565,492,515,L,B-L,L,B-L,ASL_2008_08_06_scene47-camera1.mov,Lexical Signs,ILLEGAL
4893,ILLEGAL,ILLEGAL,ILLEGAL,4695,4820,4745,4770,L,B-L,L,B-L,ASL_2011_06_14_Brady_scene21-camera1.mov,Lexical Signs,ILLEGAL
4894,ILLEGAL,ILLEGAL,ILLEGAL,538,663,588,613,L,B-L,L,B-L,ASL_2011_06_14_Brady_scene39-camera1.mov,Lexical Signs,ILLEGAL
4895,IMAGINE,IMAGINE,IMAGINE+,2186,2345,2236,2295,I,I,I,I,ASL_2008_02_01_scene29-camera1.mov,Lexical Signs,IMAGINE
4896,IMAGINE,IMAGINE,IMAGINE+,2098,2235,2148,2185,I,I,I,I,ASL_2008_05_29b_scene4-camera1.mov,Lexical Signs,IMAGINE
4897,IMAGINE,IMAGINE,IMAGINE+,5560,5703,5610,5653,I,I,I,I,ASL_2008_08_13_scene24-camera1.mov,Lexical Signs,IMAGINE
4898,IMAGINE,IMAGINE,IMAGINE+,764,899,814,849,I,I,I,I,ASL_2011_06_14_Brady_scene39-camera1.mov,Lexical Signs,IMAGINE
4899,IMAGINE,IMAGINE_2/PARANOID,IMAGINE_2/PARANOID+,655,806,705,756,I,I,I,I,ASL_2008_02_15_scene31-camera1.mov,Lexical Signs,IMAGINE
4900,IMAGINE,IMAGINE_2/PARANOID,IMAGINE_2/PARANOID+,545,674,595,624,I,I,I,I,ASL_2011_07_19_Brady_scene26-camera1.mov,Lexical Signs,IMAGINE
4909,IMPOSSIBLE,IMPOSSIBLE,IMPOSSIBLE+,200,370,250,320,Y,B-L,Y,B-L,ASL_2008_02_01_scene30-camera1.mov,Lexical Signs,IMPOSSIBLE
4910,IMPOSSIBLE,IMPOSSIBLE,IMPOSSIBLE+,6465,6605,6515,6555,Y,B-L,Y,B-L,ASL_2008_08_13_scene24-camera1.mov,Lexical Signs,IMPOSSIBLE
4911,IMPOSSIBLE,IMPOSSIBLE,IMPOSSIBLE+,1668,1802,1718,1752,Y,B-L,Y,B-L,ASL_2011_06_14_Brady_scene39-camera1.mov,Lexical Signs,IMPOSSIBLE
4912,IMPOSSIBLE,IMPOSSIBLE,IMPOSSIBLE++,2835,2990,2885,2940,Y,B-L,Y,B-L,ASL_2008_05_29b_scene4-camera1.mov,Lexical Signs,IMPOSSIBLE
4954,INCREASE,INCREASE,INCREASE,3605,3765,3655,3715,U,U,U,U,ASL_2008_02_01_scene30-camera1.mov,Lexical Signs,INCREASE
4956,INCREASE,INCREASE,INCREASE,1990,2117,2040,2067,U,U,crvd-U,U,ASL_2008_05_29b_scene5-camera1.mov,Lexical Signs,INCREASE
4957,INCREASE,INCREASE,INCREASE,3717,3836,3767,3786,U,U,U,U,ASL_2008_08_13_scene25-camera1.mov,Lexical Signs,INCREASE
4958,INCREASE,INCREASE,INCREASE,3916,4031,3966,3981,U,U,U,U,ASL_2011_06_14_Brady_scene39-camera1.mov,Lexical Signs,INCREASE
207814,INCREASE,INCREASE,INCREASE,375,534,425,484,U,U,U,U,ASL_2007_05_24_scene18-camera1.mov,Lexical Signs,INCREASE
4959,INCREASE,INCREASE,INCREASE+,435,593,485,543,U,U,U,U,ASL_2006_10_10_scene15-camera1.mov,Lexical Signs,INCREASE
4960,INCREASE,INCREASE,INCREASE++,410,586,460,536,U,U,U,U,ASL_2010_08_10_Liz_additional_lexicon_signs_scene23-camera1.mov,Lexical Signs,INCREASE
4965,INDIVIDUAL,INDIVIDUAL,INDIVIDUAL,600,740,650,690,I,I,I,I,ASL_2008_02_01_scene31-camera1.mov,Lexical Signs,INDIVIDUAL
4966,INDIVIDUAL,INDIVIDUAL,INDIVIDUAL,465,587,515,537,I,I,I,I,ASL_2008_08_13_scene26-camera1.mov,Lexical Signs,INDIVIDUAL
4967,INDIVIDUAL,INDIVIDUAL-pl,INDIVIDUAL-pl,420,560,470,510,I,I,I,I,ASL_2008_05_29b_scene6-camera1.mov,Lexical Signs,INDIVIDUAL
4968,INDIVIDUAL,INDIVIDUAL-pl,INDIVIDUAL-pl,4675,4823,4725,4773,I,I,I,I,ASL_2011_06_14_Brady_scene39-camera1.mov,Lexical Signs,INDIVIDUAL
4998,INNOCENT,INNOCENT,INNOCENT,645,770,695,720,U,U,U,U,ASL_2008_02_01_scene32-camera1.mov,Lexical Signs,INNOCENT
4999,INNOCENT,INNOCENT,INNOCENT,255,375,305,325,U,U,U,U,ASL_2008_05_29b_scene7-camera1.mov,Lexical Signs,INNOCENT
5000,INNOCENT,INNOCENT,INNOCENT,642,760,692,710,U,U,U,U,ASL_2008_08_13_scene27-camera1.mov,Lexical Signs,INNOCENT
5001,INNOCENT,INNOCENT,INNOCENT,4129,4244,4179,4194,U,U,U,U,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,INNOCENT
406,INSPIRE,(5)INSPIRE,(5)INSPIRE,1342,1462,1392,1412,5,5,5,5,ASL_2008_05_29b_scene7-camera1.mov,Lexical Signs,INSPIRE
5002,INSPIRE,INSPIRE,INSPIRE,1150,1285,1200,1235,flat-O,flat-O,5,5,ASL_2008_02_01_scene32-camera1.mov,Lexical Signs,INSPIRE
5003,INSPIRE,INSPIRE,INSPIRE,1112,1245,1162,1195,flat-O,flat-O,5,5,ASL_2008_08_13_scene27-camera1.mov,Lexical Signs,INSPIRE
5004,INSPIRE,INSPIRE,INSPIRE,4612,4737,4662,4687,flat-O,flat-O,5,5,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,INSPIRE
595,INSTITUTE,(nd-S)INSTITUTE,(nd-S)INSTITUTE,2283,2414,2333,2364,I,S,I,S,ASL_2006_10_10_scene22-camera1.mov,Lexical Signs,INSTITUTE
596,INSTITUTE,(nd-S)INSTITUTE_2,(nd-S)INSTITUTE_2,2192,2353,2242,2303,I,S,I,S,ASL_2007_05_24_scene25-camera1.mov,Lexical Signs,INSTITUTE
5008,INSTITUTE,INSTITUTE,INSTITUTE+,1080,1235,1130,1185,I,I,I,I,ASL_2008_02_29_scene12-camera1.mov,Lexical Signs,INSTITUTE
5009,INSTITUTE,INSTITUTE,INSTITUTE+,2850,3026,2900,2976,I,I,I,I,ASL_2010_08_10_Liz_additional_lexicon_signs_scene30-camera1.mov,Lexical Signs,INSTITUTE
5010,INSTITUTE,INSTITUTE,INSTITUTE+,5109,5237,5159,5187,I,I,I,I,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,INSTITUTE
5011,INSTITUTE,INSTITUTE,INSTITUTE+,1125,1250,1175,1200,I,I,I,I,ASL_2011_07_19_Brady_scene57-camera1.mov,Lexical Signs,INSTITUTE
5012,INSTITUTE,INSTITUTE,INSTITUTE++,5850,5989,5900,5939,I,I,I,I,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,INSTITUTE
5018,INSURANCE/INFECTION,INSURANCE/INFECTION,INSURANCE/INFECTION,475,615,525,565,I,,I,,ASL_2008_02_01_scene33-camera1.mov,Lexical Signs,INSURANCE/INFECTION
5019,INSURANCE/INFECTION,INSURANCE/INFECTION,INSURANCE/INFECTION,2470,2626,2520,2576,I,,I,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene30-camera1.mov,Lexical Signs,INSURANCE/INFECTION
5020,INSURANCE/INFECTION,INSURANCE/INFECTION,INSURANCE/INFECTION,1765,1912,1815,1862,I,,I,,ASL_2008_05_29b_scene7-camera1.mov,Lexical Signs,INSURANCE/INFECTION
5021,INSURANCE/INFECTION,INSURANCE/INFECTION,INSURANCE/INFECTION,1715,1852,1765,1802,I,,I,,ASL_2008_08_13_scene27-camera1.mov,Lexical Signs,INSURANCE/INFECTION
5022,INSURANCE/INFECTION,INSURANCE/INFECTION,INSURANCE/INFECTION,755,881,805,831,I,,I,,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,INSURANCE/INFECTION
5026,INTERESTING,INTERESTING,INTERESTING,226,360,276,310,5,5,8,8,ASL_2008_02_01_scene34-camera1.mov,Lexical Signs,INTERESTING
5027,INTERESTING,INTERESTING,INTERESTING,4415,4540,4465,4490,5,5,8,8,ASL_2008_05_29b_scene7-camera1.mov,Lexical Signs,INTERESTING
5028,INTERESTING,INTERESTING,INTERESTING,3100,3222,3150,3172,5,5,8,8,ASL_2008_08_13_scene27-camera1.mov,Lexical Signs,INTERESTING
5029,INTERESTING,INTERESTING,INTERESTING,925,1044,975,994,5,5,8,8,ASL_2011_06_14_Brady_scene41-camera1.mov,Lexical Signs,INTERESTING
5030,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,870,1025,920,975,I,I,I,I,ASL_2008_02_01_scene34-camera1.mov,Lexical Signs,INTERNATIONAL
5031,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,455,600,505,550,I,I,I,I,ASL_2008_05_29b_scene8-camera1.mov,Lexical Signs,INTERNATIONAL
5032,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,477,607,527,557,I,I,I,I,ASL_2008_08_13_scene28-camera1.mov,Lexical Signs,INTERNATIONAL
5033,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,1395,1529,1445,1479,I,I,I,I,ASL_2011_06_14_Brady_scene41-camera1.mov,Lexical Signs,INTERNATIONAL
40285,INTERPRET+AGENT,INTERPRET+AGENT,INTERPRET++AGENT,1115,1260,1165,1210,F,F,B-L,B-L,ASL_2008_02_01_scene34-camera1.mov,Compound Signs,INTERPRET+AGENT
40286,INTERPRET+AGENT,INTERPRET+AGENT,INTERPRET++AGENT,617,752,667,702,F,F,B-L,B-L,ASL_2008_05_29b_scene8-camera1.mov,Compound Signs,INTERPRET+AGENT
207989,INTERPRET+AGENT,INTERPRET+AGENT,INTERPRET++AGENT,1894,2031,1944,1981,F,F,B-L,B-L,ASL_2011_06_14_Brady_scene41-camera1.mov,Compound Signs,INTERPRET+AGENT
40287,INTERPRET+AGENT,INTERPRET+AGENT,INTERPRET+AGENT,743,879,793,829,F,F,B-L,B-L,ASL_2008_08_13_scene28-camera1.mov,Compound Signs,INTERPRET+AGENT
5043,INTERRUPT,INTERRUPT-1p,INTERRUPT-1p,2129,2258,2179,2208,B-L,B-L,B-L,B-L,ASL_2011_06_14_Brady_scene41-camera1.mov,Lexical Signs,INTERRUPT
5044,INTERVIEW,INTERVIEW,INTERVIEW+,1565,1700,1615,1650,I,I,I,I,ASL_2008_08_13_scene28-camera1.mov,Lexical Signs,INTERVIEW
5045,INTERVIEW,INTERVIEW,INTERVIEW+,2627,2760,2677,2710,I,I,I,I,ASL_2011_06_14_Brady_scene41-camera1.mov,Lexical Signs,INTERVIEW
5046,INTERVIEW,INTERVIEW,INTERVIEW++,1815,1975,1865,1925,I,I,I,I,ASL_2008_02_01_scene34-camera1.mov,Lexical Signs,INTERVIEW
5047,INTERVIEW,INTERVIEW,INTERVIEW++,1205,1342,1255,1292,I,I,I,I,ASL_2008_05_29b_scene8-camera1.mov,Lexical Signs,INTERVIEW
5148,JUNIOR,JUNIOR,JUNIOR+,3572,3737,3622,3687,1,5,1,5,ASL_2008_02_01_scene38-camera1.mov,Lexical Signs,JUNIOR
5149,JUNIOR,JUNIOR,JUNIOR+,472,659,522,609,1,5,1,5,ASL_2011_06_14_Brady_scene44-camera1.mov,Lexical Signs,JUNIOR
5150,JUNIOR,JUNIOR,JUNIOR++,2135,2280,2185,2230,1,5,1,5,ASL_2008_08_13_scene32-camera1.mov,Lexical Signs,JUNIOR
5167,KEEP,KEEP,KEEP,760,905,810,855,K,K,K,K,ASL_2008_02_01_scene39-camera1.mov,Lexical Signs,KEEP
5168,KEEP,KEEP,KEEP,246,372,296,322,K,K,K,K,ASL_2008_05_29b_scene13-camera1.mov,Lexical Signs,KEEP
5169,KEEP,KEEP,KEEP,247,366,297,316,K,K,K,K,ASL_2008_08_13_scene33-camera1.mov,Lexical Signs,KEEP
5170,KEEP,KEEP,KEEP,2956,3070,3006,3020,K,K,K,K,ASL_2011_06_14_Brady_scene44-camera1.mov,Lexical Signs,KEEP
5171,KEEP,KEEP,KEEP,87,207,137,157,K,K,K,K,ASL_2011_07_22_Brady_scene46-camera1.mov,Lexical Signs,KEEP
5172,KEEP,KEEP,KEEP,1535,1647,1585,1597,K,K,K,K,ASL_2006_10_10_scene15-camera1.mov,Lexical Signs,KEEP
5173,KEEP,KEEP,KEEP,1484,1627,1534,1577,K,K,K,K,ASL_2007_05_24_scene18-camera1.mov,Lexical Signs,KEEP
5191,KICK-OFF,KICK-OFF,KICK-OFF,5776,5921,5826,5871,cocked-8,B-L,open-8,B-L,ASL_2010_08_10_Liz_additional_lexicon_signs_scene17-camera1.mov,Lexical Signs,KICK-OFF
5192,KICK-OFF,KICK-OFF,KICK-OFF,5405,5523,5455,5473,8,B-L,5,B-L,ASL_2011_06_14_Brady_scene44-camera1.mov,Lexical Signs,KICK-OFF
603,KNOW-NOTHING,(O)KNOW-NOTHING,(O)KNOW-NOTHING,317,465,367,415,O,,O,,ASL_2006_10_10_scene16-camera1.mov,Lexical Signs,KNOW-NOTHING
5243,KNOW-NOTHING,KNOW-NOTHING,KNOW-NOTHING++,75,250,125,200,F,,F,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene31-camera1.mov,Lexical Signs,KNOW-NOTHING
5244,KNOW-NOTHING,KNOW-NOTHING,KNOW-NOTHING++,253,405,303,355,F,,F,,ASL_2007_05_24_scene19-camera1.mov,Lexical Signs,KNOW-NOTHING
5280,LAST-WEEK,LAST-WEEK,LAST-WEEK,400,536,450,486,1,B-L,1,B-L,ASL_2008_02_01_scene44-camera1.mov,Lexical Signs,LAST-WEEK
5281,LAST-WEEK,LAST-WEEK,LAST-WEEK,180,306,230,256,1,B-L,1,B-L,ASL_2008_05_29b_scene17-camera1.mov,Lexical Signs,LAST-WEEK
5282,LAST-WEEK,LAST-WEEK,LAST-WEEK,1042,1167,1092,1117,1,B-L,1,B-L,ASL_2008_08_13_scene37-camera1.mov,Lexical Signs,LAST-WEEK
5283,LAST-WEEK,LAST-WEEK,LAST-WEEK,5136,5258,5186,5208,1,B-L,1,B-L,ASL_2011_06_14_Brady_scene46-camera1.mov,Lexical Signs,LAST-WEEK
224,LAST-YEAR,(1h)LAST-YEAR,(1h)LAST-YEAR,595,725,645,675,cocked-S,,1,,ASL_2008_02_01_scene44-camera1.mov,Lexical Signs,LAST-YEAR
225,LAST-YEAR,(1h)LAST-YEAR_2,(1h)LAST-YEAR_2,384,508,434,458,1,,1,,ASL_2011_06_14_Brady_scene47-camera1.mov,Lexical Signs,LAST-YEAR
5284,LAST-YEAR,LAST-YEAR_2,LAST-YEAR_2,1317,1438,1367,1388,L,S,alt-G_bent-L,S,ASL_2008_08_13_scene37-camera1.mov,Lexical Signs,LAST-YEAR
5335,LEAVE-THERE,LEAVE-THERE,LEAVE-THERE,3265,3395,3315,3345,5,5,5,5,ASL_2008_02_01_scene45-camera1.mov,Lexical Signs,LEAVE-THERE
5336,LEAVE-THERE,LEAVE-THERE,LEAVE-THERE,3267,3387,3317,3337,5,5,5,5,ASL_2008_05_29b_scene18-camera1.mov,Lexical Signs,LEAVE-THERE
